%Set of all the words. We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p3.cpp
@relation whole_set_p3
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c9 {yes,no}
@attribute w_length integer
@attribute difficult {yes,no}
@data
1, 15, 5, no, no, no, no, no, no, no, no, 10, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
22, 405, 2, no, no, yes, no, no, no, no, no, 4, yes
17, 213, 3, no, no, yes, no, no, no, no, no, 7, yes
17, 213, 3, no, no, yes, no, no, no, no, no, 7, yes
12, 194, 2, no, no, yes, no, no, no, no, no, 5, yes
9, 89, 4, no, no, no, no, no, no, no, no, 8, yes
6, 20, 4, no, no, no, no, no, no, no, no, 8, yes
6, 20, 4, no, no, no, no, no, no, no, no, 8, yes
6, 20, 4, no, no, no, no, no, no, no, no, 8, yes
4, 100, 3, no, no, no, no, no, no, no, no, 4, yes
4, 100, 3, no, no, no, no, no, no, no, no, 4, yes
19, 304, 2, no, no, no, no, no, no, no, no, 3, yes
13, 192, 3, no, no, yes, no, no, no, no, no, 5, yes
11, 48, 4, no, no, no, no, no, no, no, no, 8, yes
11, 48, 4, no, no, no, no, no, no, no, no, 8, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 12, 5, no, no, no, no, no, no, no, yes, 11, yes
1, 12, 5, no, no, no, no, no, no, no, yes, 11, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
1, 4, 6, no, no, no, no, no, no, no, yes, 13, yes
2, 12, 4, yes, no, no, no, no, no, no, yes, 9, yes
2, 12, 4, yes, no, no, no, no, no, no, yes, 9, yes
6, 20, 4, no, no, no, no, no, no, no, no, 8, yes
5, 50, 3, no, no, no, no, no, no, no, no, 7, yes
5, 50, 3, no, no, no, no, no, no, no, no, 7, yes
5, 50, 3, no, no, no, no, no, no, no, no, 7, yes
5, 50, 3, no, no, no, no, no, no, no, no, 7, yes
5, 50, 3, no, no, no, no, no, no, no, no, 7, yes
2, 12, 4, yes, no, no, no, no, no, no, yes, 9, yes
18, 403, 2, no, no, yes, no, no, no, no, no, 4, yes
5, 21, 5, no, no, no, no, no, no, no, no, 10, yes
5, 21, 5, no, no, no, no, no, no, no, no, 10, yes
5, 21, 5, no, no, no, no, no, no, no, no, 10, yes
5, 21, 5, no, no, no, no, no, no, no, no, 10, yes
5, 21, 5, no, no, no, no, no, no, no, no, 10, yes
5, 21, 5, no, no, no, no, no, no, no, no, 10, yes
5, 21, 5, no, no, no, no, no, no, no, no, 10, yes
9, 67, 4, no, yes, no, no, no, no, no, no, 7, yes
27, 516, 2, no, no, no, no, no, no, no, no, 3, yes
11, 265, 1, no, no, yes, no, yes, no, no, no, 3, yes
2, 2, 6, no, no, no, no, no, no, no, no, 10, yes
3, 13, 6, no, no, no, no, yes, no, yes, no, 12, yes
4, 100, 3, no, no, no, no, no, no, no, no, 4, yes
4, 100, 3, no, no, no, no, no, no, no, no, 4, yes
27, 516, 2, no, no, no, no, no, no, no, no, 3, yes
26, 413, 3, no, no, no, no, no, no, no, no, 4, yes
0, 11, 3, no, yes, no, no, no, no, no, no, 7, yes
1, 5, 4, no, no, no, no, no, no, no, yes, 9, yes
1, 5, 4, no, no, no, no, no, no, no, yes, 9, yes
1, 5, 4, no, no, no, no, no, no, no, yes, 9, yes
0, 0, 3, no, no, no, no, yes, no, no, no, 8, yes
0, 0, 3, no, no, no, no, yes, no, no, no, 8, yes
4, 33, 3, no, no, no, no, no, no, no, no, 7, yes
1, 1, 7, no, no, no, no, no, no, no, no, 14, yes
7, 61, 5, no, no, no, no, no, no, no, no, 8, yes
1, 2, 6, no, no, no, no, no, no, no, no, 10, yes
37, 638, 2, no, no, no, no, yes, no, no, no, 3, yes
37, 638, 2, no, no, no, no, yes, no, no, no, 3, yes
28, 448, 2, no, no, yes, no, yes, no, no, no, 4, yes
28, 448, 2, no, no, yes, no, yes, no, no, no, 4, yes
28, 448, 2, no, no, yes, no, yes, no, no, no, 4, yes
11, 246, 2, no, no, no, no, yes, no, no, no, 4, yes
11, 246, 2, no, no, no, no, yes, no, no, no, 4, yes
27, 516, 2, no, no, no, no, no, no, no, no, 3, yes
27, 516, 2, no, no, no, no, no, no, no, no, 3, yes
7, 51, 4, no, no, no, no, yes, no, no, no, 8, yes
7, 51, 4, no, no, no, no, yes, no, no, no, 8, yes
3, 13, 6, no, no, no, no, yes, no, yes, no, 12, yes
3, 13, 6, no, no, no, no, yes, no, yes, no, 12, yes
0, 0, 4, no, no, no, no, no, no, no, no, 10, yes
1, 5, 4, no, no, no, no, no, no, no, yes, 9, yes
1, 5, 4, no, no, no, no, no, no, no, yes, 9, yes
7, 61, 5, no, no, no, no, no, no, no, no, 8, yes
15, 374, 1, no, no, yes, no, no, no, no, no, 3, yes
4, 33, 3, no, no, no, no, no, no, no, no, 7, yes
7, 84, 4, no, no, no, no, no, no, no, no, 8, yes
2, 3, 5, no, no, no, no, no, no, yes, no, 12, yes
2, 3, 5, no, no, no, no, no, no, yes, no, 12, yes
6, 127, 2, no, no, no, no, no, no, no, no, 4, yes
7, 24, 4, no, no, no, no, no, no, no, no, 8, yes
7, 24, 4, no, no, no, no, no, no, no, no, 8, yes
27, 516, 2, no, no, no, no, no, no, no, no, 3, yes
27, 516, 2, no, no, no, no, no, no, no, no, 3, yes
21, 463, 2, no, no, no, no, no, no, no, no, 4, yes
21, 463, 2, no, no, no, no, no, no, no, no, 4, yes
21, 463, 2, no, no, no, no, no, no, no, no, 4, yes
7, 71, 4, no, no, yes, no, no, no, no, no, 8, yes
9, 36, 4, no, no, yes, no, no, no, no, no, 10, yes
9, 36, 4, no, no, yes, no, no, no, no, no, 10, yes
0, 0, 6, no, no, no, no, no, no, no, no, 12, yes
8, 172, 2, no, no, yes, no, no, no, no, no, 5, yes
6, 33, 4, no, no, no, no, no, yes, no, no, 10, yes
6, 33, 4, no, no, no, no, no, yes, no, no, 10, yes
1, 27, 4, no, no, no, no, no, no, no, no, 8, yes
1, 27, 4, no, no, no, no, no, no, no, no, 8, yes
1, 27, 4, no, no, no, no, no, no, no, no, 8, yes
1, 27, 4, no, no, no, no, no, no, no, no, 8, yes
14, 129, 3, no, no, no, no, no, no, no, no, 7, yes
3, 4, 6, no, no, no, no, no, no, no, no, 12, yes
3, 4, 6, no, no, no, no, no, no, no, no, 12, yes
3, 4, 6, no, no, no, no, no, no, no, no, 12, yes
3, 4, 6, no, no, no, no, no, no, no, no, 12, yes
3, 4, 6, no, no, no, no, no, no, no, no, 12, yes
3, 4, 6, no, no, no, no, no, no, no, no, 12, yes
22, 405, 2, no, no, yes, no, no, no, no, no, 4, yes
22, 405, 2, no, no, yes, no, no, no, no, no, 4, yes
9, 217, 2, no, no, yes, no, no, no, no, no, 4, yes
6, 33, 4, no, no, no, no, no, yes, no, no, 10, yes
10, 78, 3, no, no, no, no, no, yes, no, no, 8, yes
6, 65, 4, no, no, no, no, no, yes, no, no, 10, yes
2, 3, 5, no, no, no, no, no, no, no, no, 9, yes
3, 4, 6, no, no, no, no, no, no, no, no, 12, yes
3, 4, 6, no, no, no, no, no, no, no, no, 12, yes
6, 39, 5, no, no, no, no, no, no, no, no, 9, yes
6, 17, 5, no, no, no, no, no, no, no, no, 9, yes
6, 269, 2, no, no, no, no, no, no, no, no, 5, yes
6, 20, 4, no, no, no, no, no, no, no, no, 8, yes
7, 85, 4, no, no, no, no, no, no, no, no, 6, yes
10, 204, 3, no, no, no, no, no, no, no, no, 4, yes
1, 5, 4, no, no, no, no, no, no, no, no, 7, yes
1, 18, 3, no, no, no, no, no, no, no, no, 7, yes
8, 159, 2, no, no, yes, no, no, no, no, no, 5, yes
8, 159, 2, no, no, yes, no, no, no, no, no, 5, yes
2, 27, 2, no, no, yes, no, no, no, no, no, 5, yes
2, 27, 2, no, no, yes, no, no, no, no, no, 5, yes
2, 13, 5, no, no, yes, no, no, no, no, no, 10, yes
2, 13, 5, no, no, yes, no, no, no, no, no, 10, yes
26, 413, 3, no, no, no, no, no, no, no, no, 4, yes
11, 265, 1, no, no, yes, no, yes, no, no, no, 3, yes
3, 13, 6, no, no, no, no, yes, no, yes, no, 12, yes
3, 13, 6, no, no, no, no, yes, no, yes, no, 12, yes
13, 232, 1, no, no, yes, no, no, no, no, no, 3, yes
22, 405, 2, no, no, yes, no, no, no, no, no, 4, yes
22, 405, 2, no, no, yes, no, no, no, no, no, 4, yes
12, 194, 2, no, no, yes, no, no, no, no, no, 5, yes
12, 194, 2, no, no, yes, no, no, no, no, no, 5, yes
6, 92, 3, no, no, no, no, no, no, no, no, 6, yes
12, 121, 2, no, no, no, no, no, no, no, no, 4, yes
1, 33, 3, no, no, no, no, no, no, no, no, 8, yes
24, 426, 2, no, no, no, no, no, no, no, no, 5, yes
21, 400, 2, no, no, no, no, no, no, no, no, 5, yes
3, 34, 4, yes, no, no, no, no, no, no, no, 8, yes
9, 63, 3, no, no, no, no, no, no, no, no, 8, yes
2, 28, 3, yes, no, no, no, no, no, no, yes, 6, yes
29, 390, 1, no, no, no, no, no, no, no, no, 2, yes
10, 134, 2, yes, no, no, no, no, no, no, yes, 5, yes
9, 112, 2, no, no, no, no, no, no, no, yes, 5, yes
9, 112, 2, no, no, no, no, no, no, no, yes, 5, yes
4, 31, 7, no, no, no, no, no, no, no, no, 12, yes
4, 10, 6, no, no, no, no, no, no, no, no, 11, yes
4, 31, 7, no, no, no, no, no, no, no, no, 12, yes
4, 31, 7, no, no, no, no, no, no, no, no, 12, yes
7, 115, 3, no, no, no, no, no, no, no, no, 7, yes
3, 14, 4, no, no, no, no, no, no, no, yes, 9, yes
3, 4, 4, no, no, no, no, no, no, no, no, 9, yes
3, 4, 4, no, no, no, no, no, no, no, no, 9, yes
3, 4, 4, no, no, no, no, no, no, no, no, 9, yes
3, 5, 4, no, no, no, no, no, no, no, no, 10, yes
4, 61, 2, no, no, no, no, no, no, no, no, 6, yes
7, 115, 3, no, no, no, no, no, no, no, no, 5, yes
3, 5, 5, yes, no, no, no, no, no, no, yes, 10, yes
12, 264, 2, no, no, no, no, no, no, no, no, 4, yes
15, 389, 2, no, no, no, no, no, no, no, no, 3, yes
9, 98, 2, no, no, no, no, no, no, no, no, 6, yes
4, 12, 5, no, no, no, no, no, no, no, no, 11, yes
4, 12, 5, no, no, no, no, no, no, no, no, 11, yes
11, 193, 2, no, no, no, no, no, no, no, no, 5, yes
9, 205, 1, no, no, no, no, yes, no, no, no, 3, yes
9, 205, 1, no, no, no, no, yes, no, no, no, 3, yes
0, 21, 2, no, no, no, no, yes, no, no, no, 5, yes
0, 21, 2, no, no, no, no, yes, no, no, no, 5, yes
0, 21, 2, no, no, no, no, yes, no, no, no, 5, yes
19, 333, 2, no, no, no, no, no, no, no, no, 5, yes
9, 159, 2, no, no, no, no, no, no, no, yes, 5, yes
0, 1, 2, no, no, no, no, no, no, no, no, 7, yes
9, 205, 1, no, no, no, no, yes, no, no, no, 3, yes
5, 63, 2, no, no, no, no, no, no, no, no, 4, yes
21, 264, 2, no, no, no, no, no, no, no, no, 5, yes
13, 185, 2, no, no, no, no, no, no, no, no, 5, yes
1, 23, 3, no, no, no, no, no, no, no, no, 8, yes
1, 23, 3, no, no, no, no, no, no, no, no, 8, yes
1, 23, 3, no, no, no, no, no, no, no, no, 8, yes
19, 349, 2, no, no, no, no, yes, no, no, no, 4, yes
2, 8, 5, no, no, no, no, no, no, no, no, 11, yes
17, 257, 3, no, no, no, no, no, no, no, no, 6, yes
17, 257, 3, no, no, no, no, no, no, no, no, 6, yes
17, 257, 3, no, no, no, no, no, no, no, no, 6, yes
6, 55, 5, no, no, no, no, no, no, no, no, 9, yes
6, 55, 5, no, no, no, no, no, no, no, no, 9, yes
4, 29, 2, no, no, no, no, no, no, no, no, 7, yes
7, 71, 3, no, no, no, no, no, no, no, no, 7, yes
12, 149, 5, no, no, no, no, no, no, no, no, 11, yes
12, 149, 5, no, no, no, no, no, no, no, no, 11, yes
5, 12, 3, no, no, no, no, no, no, no, no, 9, yes
5, 12, 3, no, no, no, no, no, no, no, no, 9, yes
4, 36, 3, no, no, no, no, no, no, no, yes, 8, yes
14, 197, 2, no, no, no, no, no, no, no, no, 6, yes
2, 5, 3, no, no, no, no, no, no, no, no, 8, yes
7, 71, 3, no, no, no, no, no, no, no, no, 7, yes
7, 71, 3, no, no, no, no, no, no, no, no, 7, yes
13, 192, 2, no, no, no, no, no, no, no, no, 6, yes
3, 10, 3, no, no, no, no, no, no, no, no, 9, yes
3, 10, 3, no, no, no, no, no, no, no, no, 9, yes
3, 10, 3, no, no, no, no, no, no, no, no, 9, yes
3, 25, 2, no, no, no, no, no, no, no, no, 6, yes
5, 60, 3, no, no, no, no, no, no, no, no, 7, yes
5, 60, 3, no, no, no, no, no, no, no, no, 7, yes
3, 4, 5, no, no, no, no, no, no, no, no, 12, yes
8, 72, 4, no, no, no, no, no, no, no, no, 9, yes
8, 72, 4, no, no, no, no, no, no, no, no, 9, yes
1, 23, 3, no, no, no, no, no, no, no, no, 8, yes
1, 23, 3, no, no, no, no, no, no, no, no, 8, yes
3, 325, 2, no, no, no, no, no, no, no, no, 3, yes
3, 325, 2, no, no, no, no, no, no, no, no, 3, yes
10, 32, 5, no, no, no, no, no, no, no, no, 9, yes
1, 5, 5, no, no, no, no, no, no, no, no, 12, yes
1, 5, 5, no, no, no, no, no, no, no, no, 12, yes
3, 46, 3, no, no, no, no, no, no, no, no, 7, yes
3, 46, 3, no, no, no, no, no, no, no, no, 7, yes
11, 114, 3, no, no, no, no, no, no, no, no, 6, yes
4, 28, 4, no, no, no, yes, no, no, no, no, 9, yes
1, 4, 6, no, no, no, yes, no, no, no, no, 12, yes
1, 1, 6, no, no, no, no, no, no, no, no, 13, yes
1, 1, 6, no, no, no, no, no, no, no, no, 13, yes
2, 5, 4, no, no, no, no, no, no, no, no, 10, yes
1, 1, 6, no, no, no, no, no, no, no, no, 13, yes
1, 1, 6, no, no, no, no, no, no, no, no, 13, yes
3, 25, 3, no, no, no, no, no, no, no, no, 6, yes
13, 203, 3, no, no, no, no, no, no, no, no, 6, yes
13, 203, 3, no, no, no, no, no, no, no, no, 6, yes
4, 15, 4, no, no, no, no, no, no, no, no, 10, yes
1, 4, 6, no, no, no, yes, no, no, no, no, 12, yes
1, 4, 6, no, no, no, yes, no, no, no, no, 12, yes
11, 305, 2, no, no, no, no, no, no, no, no, 5, yes
11, 274, 2, no, no, no, no, no, no, no, no, 5, yes
12, 173, 2, no, no, no, no, no, no, no, no, 5, yes
8, 168, 3, no, no, no, no, no, no, no, no, 5, yes
7, 117, 3, no, no, no, no, no, no, no, no, 5, yes
11, 261, 2, no, no, no, no, no, no, no, no, 5, yes
0, 2, 2, no, no, no, no, no, no, no, no, 6, yes
0, 2, 2, no, no, no, no, no, no, no, no, 6, yes
0, 2, 2, no, no, no, no, no, no, no, no, 6, yes
3, 18, 4, no, no, no, no, no, no, no, no, 10, yes
2, 11, 5, no, no, no, no, no, no, no, no, 11, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
0, 1, 6, no, no, no, no, no, no, no, no, 13, yes
6, 55, 2, no, no, no, no, no, no, no, no, 6, yes
2, 10, 3, no, no, no, no, no, no, no, no, 8, yes
1, 3, 6, no, no, no, no, no, no, yes, no, 12, yes
3, 19, 4, no, no, no, no, no, no, no, no, 8, yes
3, 19, 4, no, no, no, no, no, no, no, no, 8, yes
6, 42, 4, no, no, no, no, no, no, no, no, 10, yes
3, 19, 4, no, no, no, no, no, no, no, no, 8, yes
2, 13, 4, no, no, no, no, no, no, no, no, 9, yes
6, 45, 4, no, no, no, no, no, no, no, no, 10, yes
8, 35, 3, no, no, no, no, no, no, no, no, 8, yes
0, 5, 4, no, no, no, no, no, no, no, no, 9, yes
0, 5, 4, no, no, no, no, no, no, no, no, 9, yes
0, 5, 4, no, no, no, no, no, no, no, no, 9, yes
0, 5, 4, no, no, no, no, no, no, no, no, 9, yes
2, 11, 4, no, no, no, no, no, no, no, no, 12, yes
4, 27, 4, no, no, no, no, no, no, no, no, 8, yes
7, 49, 3, no, no, no, no, no, no, no, no, 8, yes
23, 350, 2, no, no, no, no, no, no, no, no, 6, yes
5, 40, 3, no, no, no, no, no, no, no, no, 7, yes
5, 40, 3, no, no, no, no, no, no, no, no, 7, yes
5, 40, 3, no, no, no, no, no, no, no, no, 7, yes
5, 40, 3, no, no, no, no, no, no, no, no, 7, yes
11, 73, 3, no, no, no, no, no, no, no, no, 8, yes
1, 2, 4, no, no, no, no, no, yes, no, no, 12, yes
1, 2, 4, no, no, no, no, no, yes, no, no, 12, yes
6, 17, 4, no, no, no, no, no, no, no, no, 12, yes
6, 17, 4, no, no, no, no, no, no, no, no, 12, yes
6, 17, 4, no, no, no, no, no, no, no, no, 12, yes
6, 17, 4, no, no, no, no, no, no, no, no, 12, yes
6, 17, 4, no, no, no, no, no, no, no, no, 12, yes
6, 17, 4, no, no, no, no, no, no, no, no, 12, yes
1, 5, 5, no, no, no, no, no, no, no, no, 12, yes
1, 5, 5, no, no, no, no, no, no, no, no, 12, yes
1, 5, 5, no, no, no, no, no, no, no, no, 12, yes
1, 5, 5, no, no, no, no, no, no, no, no, 12, yes
1, 5, 5, no, no, no, no, no, no, no, no, 12, yes
0, 0, 6, no, no, no, no, no, no, no, no, 14, yes
0, 0, 6, no, no, no, no, no, no, no, no, 14, yes
9, 108, 3, no, no, no, no, no, no, no, no, 6, yes
9, 108, 3, no, no, no, no, no, no, no, no, 6, yes
16, 262, 3, no, no, no, no, no, no, no, no, 6, yes
5, 34, 4, no, no, no, no, no, no, no, no, 9, yes
30, 469, 2, no, no, no, no, no, no, no, no, 4, yes
4, 17, 4, no, no, no, no, no, no, no, no, 8, yes
9, 103, 4, no, no, no, no, no, no, no, yes, 8, yes
9, 103, 4, no, no, no, no, no, no, no, yes, 8, yes
9, 103, 4, no, no, no, no, no, no, no, yes, 8, yes
9, 103, 4, no, no, no, no, no, no, no, yes, 8, yes
9, 132, 3, no, no, yes, no, no, no, no, no, 6, yes
9, 132, 3, no, no, yes, no, no, no, no, no, 6, yes
15, 239, 3, no, no, no, no, no, no, no, no, 5, yes
9, 108, 3, no, no, no, no, no, no, no, no, 6, yes
19, 239, 2, no, no, no, no, no, no, no, no, 5, yes
19, 239, 2, no, no, no, no, no, no, no, no, 5, yes
19, 239, 2, no, no, no, no, no, no, no, no, 5, yes
12, 147, 3, no, no, no, no, no, no, no, no, 6, yes
19, 245, 2, no, yes, no, no, no, no, no, no, 5, yes
18, 248, 3, no, no, no, no, no, no, no, no, 6, yes
9, 108, 3, no, no, no, no, no, no, no, no, 6, yes
12, 147, 3, no, no, no, no, no, no, no, no, 6, yes
19, 239, 2, no, no, no, no, no, no, no, no, 5, yes
4, 15, 4, no, no, no, no, no, no, no, no, 10, yes
2, 31, 3, no, no, no, no, no, no, no, no, 7, yes
1, 11, 4, no, no, no, no, no, no, no, no, 7, yes
0, 3, 3, no, no, no, no, no, no, no, no, 9, yes
1, 30, 3, no, no, no, no, no, no, no, no, 7, yes
10, 134, 2, yes, no, no, no, no, no, no, yes, 5, yes
10, 134, 2, yes, no, no, no, no, no, no, yes, 5, yes
5, 33, 4, no, no, no, no, no, no, no, yes, 7, yes
5, 33, 4, no, no, no, no, no, no, no, yes, 7, yes
12, 198, 2, no, no, no, no, no, no, no, no, 5, yes
9, 162, 2, no, no, no, no, no, no, no, no, 5, yes
0, 6, 3, no, no, no, no, no, no, no, no, 8, yes
0, 6, 3, no, no, no, no, no, no, no, no, 8, yes
0, 0, 7, yes, no, yes, no, no, no, no, yes, 14, yes
0, 0, 7, yes, no, yes, no, no, no, no, yes, 14, yes
3, 74, 2, no, no, no, no, no, no, no, no, 5, yes
1, 71, 2, no, no, no, no, no, no, no, no, 5, yes
1, 71, 2, no, no, no, no, no, no, no, no, 5, yes
0, 0, 3, no, no, no, no, yes, no, no, no, 9, yes
0, 0, 3, no, no, no, no, yes, no, no, no, 9, yes
0, 5, 3, no, no, no, no, no, no, no, no, 7, yes
0, 4, 3, no, no, no, no, no, no, no, no, 9, yes
1, 19, 2, no, no, no, no, no, no, no, no, 6, yes
0, 4, 3, no, no, no, no, no, no, no, no, 8, yes
22, 362, 2, no, no, no, no, no, no, no, no, 5, yes
3, 4, 4, no, no, no, no, no, no, no, no, 9, yes
3, 4, 4, no, no, no, no, no, no, no, no, 9, yes
5, 86, 2, no, no, no, no, no, no, no, no, 6, yes
8, 130, 2, no, no, no, no, no, no, no, yes, 5, yes
6, 21, 4, no, no, no, no, no, yes, no, no, 10, yes
6, 21, 4, no, no, no, no, no, yes, no, no, 10, yes
6, 21, 4, no, no, no, no, no, yes, no, no, 10, yes
6, 21, 4, no, no, no, no, no, yes, no, no, 10, yes
6, 21, 4, no, no, no, no, no, yes, no, no, 10, yes
6, 21, 4, no, no, no, no, no, yes, no, no, 10, yes
6, 21, 4, no, no, no, no, no, yes, no, no, 10, yes
6, 21, 4, no, no, no, no, no, yes, no, no, 10, yes
6, 21, 4, no, no, no, no, no, yes, no, no, 10, yes
9, 85, 4, no, no, no, no, no, no, no, yes, 10, yes
9, 85, 4, no, no, no, no, no, no, no, yes, 10, yes
4, 10, 5, no, no, no, yes, no, no, no, no, 11, yes
4, 10, 5, no, no, no, yes, no, no, no, no, 11, yes
6, 43, 4, no, no, yes, no, no, no, no, yes, 10, yes
2, 2, 6, no, no, no, no, no, no, no, yes, 12, yes
6, 51, 3, no, no, no, no, no, no, no, no, 7, yes
7, 47, 3, no, no, no, no, no, no, no, no, 8, yes
2, 6, 6, no, no, no, no, no, no, no, no, 12, yes
2, 6, 6, no, no, no, no, no, no, no, no, 12, yes
2, 6, 6, no, no, no, no, no, no, no, no, 12, yes
2, 6, 6, no, no, no, no, no, no, no, no, 12, yes
10, 166, 2, no, no, no, no, no, no, no, yes, 5, yes
9, 112, 2, no, no, no, no, no, no, no, yes, 5, yes
8, 106, 3, no, no, no, no, no, no, no, yes, 5, yes
0, 0, 4, no, no, no, no, no, no, no, yes, 9, yes
0, 0, 4, no, no, no, no, no, no, no, yes, 9, yes
2, 18, 4, no, no, no, no, no, no, no, yes, 9, yes
2, 18, 4, no, no, no, no, no, no, no, yes, 9, yes
6, 27, 3, no, no, no, no, no, no, no, yes, 6, yes
0, 0, 4, no, no, no, no, no, no, no, no, 10, yes
1, 4, 3, no, no, no, no, no, no, no, no, 7, yes
1, 4, 3, no, no, no, no, no, no, no, no, 7, yes
1, 4, 3, no, no, no, no, no, no, no, no, 7, yes
3, 15, 3, no, no, no, yes, no, no, no, no, 9, yes
4, 29, 3, no, no, no, no, no, no, no, no, 7, yes
14, 267, 2, no, no, no, no, no, no, no, no, 4, yes
6, 30, 4, no, no, no, no, no, no, no, no, 9, yes
1, 9, 4, no, no, no, no, no, no, no, no, 9, yes
1, 9, 4, no, no, no, no, no, no, no, no, 9, yes
1, 9, 4, no, no, no, no, no, no, no, no, 9, yes
4, 24, 3, no, no, no, no, no, no, no, no, 9, yes
1, 11, 4, no, no, no, no, no, no, no, no, 10, yes
6, 23, 6, no, no, no, no, no, no, no, yes, 13, yes
4, 24, 3, no, no, no, no, no, no, no, no, 9, yes
4, 24, 3, no, no, no, no, no, no, no, no, 9, yes
4, 24, 3, no, no, no, no, no, no, no, no, 9, yes
4, 24, 3, no, no, no, no, no, no, no, no, 9, yes
4, 24, 3, no, no, no, no, no, no, no, no, 9, yes
0, 0, 6, no, no, no, no, yes, no, no, yes, 16, yes
0, 0, 6, no, no, no, no, yes, no, no, yes, 16, yes
0, 0, 6, no, no, no, no, yes, no, no, yes, 16, yes
8, 80, 3, no, no, no, no, no, no, no, yes, 7, yes
6, 27, 3, no, no, no, no, no, no, no, yes, 6, yes
6, 27, 3, no, no, no, no, no, no, no, yes, 6, yes
6, 27, 3, no, no, no, no, no, no, no, yes, 6, yes
13, 154, 2, no, no, yes, no, no, no, no, no, 5, yes
13, 154, 2, no, no, yes, no, no, no, no, no, 5, yes
2, 3, 4, no, no, no, no, no, no, no, yes, 9, yes
9, 374, 2, no, no, no, no, no, no, no, no, 3, yes
9, 374, 2, no, no, no, no, no, no, no, no, 3, yes
4, 35, 3, no, no, no, no, no, no, no, no, 7, yes
