"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26"
"V11" -0.0688269177019038 -0.0675903848988833 0.143805456854405 -0.0681448859053629 -0.0618082108004993 -0.0677220341295414 -0.0695793964654284 -0.0151857260032943 -0.077960052147171 -0.0393379812419554 1 -0.025428459222873 -0.0423127890782977 -0.0312197817577565 -0.0322710585985301 0.061963909262988 0.188087304897898 -0.0399883954388941 0.304722166574001 -0.0331474548751965 -0.121178741447608 -0.0682066336014125 -0.0385067521320154 -0.00649040640592326 0.259907654900536 0.256091118305753
"V12" -0.165850309844484 -0.177249765123788 0.193895521923821 0.465473644316848 -0.0663712699779256 -0.0194576004642151 -0.0318257497925465 -0.0275290956043911 -0.00685503936786027 -0.0847137884159084 -0.025428459222873 1 0.00779358487482645 -0.0280527022395031 -0.0283564100620074 0.21009408163047 -0.0414832144173571 0.00549432362370083 -0.00104296252450202 -0.0845646737793029 -0.0802046879208202 -0.0174522551477762 -0.0105068837630909 -0.0385187670831065 -0.00576572359916284 0.0161249049132693
"V13" -0.0771792199611474 -0.108339711804084 0.0410216028086168 0.00289587407823938 -0.0338095523181443 -0.0480484312351053 0.152105972286313 -0.0294833083400978 0.201581356391404 -0.0280541156330007 -0.0423127890782977 0.00779358487482645 1 -0.0221502728948333 -0.00948026086208396 0.121702848602186 -0.142945849329146 0.716296811228958 -0.0413111316133475 0.245451676242302 -0.113021469347262 -0.0483922520417312 0.0121128755064571 -0.0246659188436281 -0.0363837380308131 -0.0214359644153115
"V14" -0.0299907473536416 -0.0461084590780039 0.0466881714656753 -0.0513371305045931 -0.0124584246371226 -0.00525098385168673 -0.0458228750798692 -0.0217537645691761 -0.0361410435039379 -0.0236746650002082 -0.0312197817577565 -0.0280527022395031 -0.0221502728948333 1 0.00968627017573606 -0.00551111871813435 0.12306251144396 -0.0309233163509828 0.116273180917695 -0.0173523227196422 -0.0484692613192618 -0.00486610209376309 0.00525657192664152 -0.00831371460981283 0.147656660544687 0.246468599659997
"V15" -0.0435303321589308 -0.0710226404841341 0.0225354704466852 -0.00272980730244629 0.0136945915229381 -0.0420162985265964 -0.0402396751048863 -0.0366380003074527 0.360451881904655 -0.0461917051067347 -0.0322710585985301 -0.0283564100620074 -0.00948026086208396 0.00968627017573606 1 0.0995562359875318 -0.150194778663663 -0.0111162073724111 -0.0923428941548667 -0.0292250292180738 -0.140448303186589 -0.0420694744553914 0.907723334701307 -0.0306579113695284 -0.0227998674943359 -0.0266378135648574
"V16" -0.601968695257048 -0.660969125851825 0.902354767447918 0.135126058783991 0.0366775097006912 -0.0568725794984514 0.46575162832015 -0.0662659580201633 0.504293858717248 0.365779256219209 0.061963909262988 0.21009408163047 0.121702848602186 -0.00551111871813435 0.0995562359875318 1 -0.18320292675796 0.142534864822279 0.237114855807978 0.0575706773895129 -0.445265637795355 -0.055029147573568 0.121960701432147 -0.175608569044776 0.069442504596908 0.0171095133111303
"V17" 0.149568199036141 0.167070767606995 0.230244559963173 -0.0393095862577284 0.00729105694397029 -0.0554870157092426 -0.15014801036522 -0.0576846903372565 -0.380908021193529 -0.127631803105381 0.188087304897898 -0.0414832144173571 -0.142945849329146 0.12306251144396 -0.150194778663663 -0.18320292675796 1 -0.206131221136445 0.511775898921304 0.00498271730821221 0.138367642261688 -0.0539351851589972 -0.14213350693845 0.000804381431939175 0.140844414638665 0.124363423412195
"V18" -0.10685072591188 -0.142376434465792 0.0353926494387323 -0.00606575544809244 -0.0302811063742856 -0.0172082960879541 0.0543818790180626 -0.0411607421363679 0.161045276791189 0.0947220324223006 -0.0399883954388941 0.00549432362370083 0.716296811228958 -0.0309233163509828 -0.0111162073724111 0.142534864822279 -0.206131221136445 1 -0.0330002750542118 0.165158350516539 -0.157785805514546 -0.0166338294944856 0.0405469846475325 -0.0288146690763281 -0.0492532807456115 -0.0299260921998712
"V19" -0.253927892572005 -0.251765471565774 0.468520905487796 0.060072000249444 -0.0401830077249394 -0.0287509455909961 0.0834310048999585 -0.0653245642493639 -0.0752257466940436 0.0600555903461235 0.304722166574001 -0.00104296252450202 -0.0413111316133475 0.116273180917695 -0.0923428941548667 0.237114855807978 0.511775898921304 -0.0330002750542118 1 -0.000489815458977546 -0.40617513498497 -0.0269434181807276 -0.0379821236505762 -0.0587150155488943 0.191005100621102 0.198687146035435
"V20" -0.078293136593322 -0.0841792647808097 0.0617838618105714 -0.0563548679885511 -0.0165139489840182 -0.0376407048763071 0.140212832029669 -0.0230969561228038 -0.0769389631959206 0.0562987203999138 -0.0331474548751965 -0.0845646737793029 0.245451676242302 -0.0173523227196422 -0.0292250292180738 0.0575706773895129 0.00498271730821221 0.165158350516539 -0.000489815458977546 1 -0.0226235747552995 -0.03791005097523 -0.0321959655556179 -0.0189906895862005 -0.0443552203754546 -0.0167927399408255
"V21" 0.465565860781458 0.523885872120146 -0.376561034075839 -0.079221557072443 0.0316678339646834 0.00174375821630722 -0.129445306284894 0.101494829773636 -0.242819542496271 -0.134141391290344 -0.121178741447608 -0.0802046879208202 -0.113021469347262 -0.0484692613192618 -0.140448303186589 -0.445265637795355 0.138367642261688 -0.157785805514546 -0.40617513498497 -0.0226235747552995 1 0.00431099463264718 -0.154725892590174 0.108605063406159 -0.0941398098293018 -0.0807017783607214
"V22" 0.0280464213044336 0.0236020472883136 -0.0705598625510006 -0.00188782608662022 -0.0610286408396529 0.992895126965171 -0.057521598998046 0.0228435936201986 -0.102765341172453 -0.0726685049383485 -0.0682066336014125 -0.0174522551477762 -0.0483922520417312 -0.00486610209376309 -0.0420694744553914 -0.055029147573568 -0.0539351851589972 -0.0166338294944856 -0.0269434181807276 -0.03791005097523 0.00431099463264718 1 -0.0489747921177197 0.0228371301974907 0.0269765126095969 -0.00271952565166524
"V23" -0.0595632522502774 -0.0812239899764286 0.0448276281020195 -0.00148141938752909 0.00321473316398941 -0.0488617811749085 -0.010549402522125 -0.0403625189601507 0.34494705128337 -0.0409058768688064 -0.0385067521320154 -0.0105068837630909 0.0121128755064571 0.00525657192664152 0.907723334701307 0.121960701432147 -0.14213350693845 0.0405469846475325 -0.0379821236505762 -0.0321959655556179 -0.154725892590174 -0.0489747921177197 1 -0.0337824976787772 -0.0168795518434277 -0.0293457406530402
"V24" 0.0919043815446301 0.132827103217774 -0.179924496930064 -0.0478258998433445 -0.0385835577036885 0.0217662295594102 -0.0962533281304108 0.0322389328448255 -0.103893223213462 -0.0352391532011726 -0.00649040640592326 -0.0385187670831065 -0.0246659188436281 -0.00831371460981283 -0.0306579113695284 -0.175608569044776 0.000804381431939175 -0.0288146690763281 -0.0587150155488943 -0.0189906895862005 0.108605063406159 0.0228371301974907 -0.0337824976787772 1 -0.0256424960239855 -0.00590008735432363
"V25" -0.0706574852983462 -0.0898602467455369 0.134043503244018 -0.0511462111286119 0.0393598045492672 0.0251765609248927 -0.00501423838680727 0.00614396501711891 -0.0366728927896822 -0.005375514819911 0.259907654900536 -0.00576572359916284 -0.0363837380308131 0.147656660544687 -0.0227998674943359 0.069442504596908 0.140844414638665 -0.0492532807456115 0.191005100621102 -0.0443552203754546 -0.0941398098293018 0.0269765126095969 -0.0168795518434277 -0.0256424960239855 1 0.0992465201964467
"V26" -0.0224455384698453 -0.0165257680779037 0.0776872382407922 -0.0163320057019393 -0.039014815437926 -0.0031331937346987 -0.0287813420476404 -0.0210522428061233 -0.0181025001838759 -0.0396120337351513 0.256091118305753 0.0161249049132693 -0.0214359644153115 0.246468599659997 -0.0266378135648574 0.0171095133111303 0.124363423412195 -0.0299260921998712 0.198687146035435 -0.0167927399408255 -0.0807017783607214 -0.00271952565166524 -0.0293457406530402 -0.00590008735432363 0.0992465201964467 1
